Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4872475	 +0.017676	 +0.018634	 +0.024190	 +0.000904	 +0.000887	 +0.000808	 +3.017675	 +0.067125	 +0.190253
4877493	 +0.017669	 +0.018643	 +0.024194	 +0.000904	 +0.000887	 +0.000808	 +3.016443	 +0.067081	 +0.190205
4882746	 +0.017671	 +0.018641	 +0.024218	 +0.000904	 +0.000888	 +0.000807	 +3.015199	 +0.067036	 +0.190157
4887746	 +0.017679	 +0.018660	 +0.024237	 +0.000904	 +0.000889	 +0.000807	 +3.013943	 +0.066990	 +0.190103
4892716	 +0.017674	 +0.018646	 +0.024231	 +0.000904	 +0.000889	 +0.000806	 +3.012675	 +0.066943	 +0.190048
4897475	 +0.017715	 +0.018644	 +0.024213	 +0.000905	 +0.000889	 +0.000807	 +3.011393	 +0.066899	 +0.189994
4902475	 +0.017694	 +0.018643	 +0.024209	 +0.000904	 +0.000889	 +0.000807	 +3.010097	 +0.066854	 +0.189940
4907476	 +0.017714	 +0.018636	 +0.024180	 +0.000904	 +0.000890	 +0.000807	 +3.008788	 +0.066809	 +0.189886
4912476	 +0.017709	 +0.018642	 +0.024200	 +0.000904	 +0.000890	 +0.000807	 +3.007467	 +0.066763	 +0.189831
4917475	 +0.017707	 +0.018646	 +0.024201	 +0.000905	 +0.000888	 +0.000807	 +3.006132	 +0.066717	 +0.189775
4922475	 +0.017727	 +0.018626	 +0.024200	 +0.000905	 +0.000888	 +0.000806	 +3.004785	 +0.066670	 +0.189718
4927475	 +0.017715	 +0.018624	 +0.024201	 +0.000905	 +0.000888	 +0.000806	 +3.003424	 +0.066623	 +0.189661
4932475	 +0.017710	 +0.018615	 +0.024193	 +0.000906	 +0.000889	 +0.000806	 +3.002051	 +0.066576	 +0.189603
4937475	 +0.017704	 +0.018608	 +0.024172	 +0.000906	 +0.000889	 +0.000805	 +3.000664	 +0.066528	 +0.189544
4942475	 +0.017712	 +0.018602	 +0.024174	 +0.000907	 +0.000891	 +0.000805	 +2.999265	 +0.066479	 +0.189484
4947476	 +0.017734	 +0.018615	 +0.024178	 +0.000909	 +0.000890	 +0.000805	 +2.997852	 +0.066430	 +0.189424
4952475	 +0.017734	 +0.018605	 +0.024132	 +0.000909	 +0.000890	 +0.000805	 +2.996426	 +0.066380	 +0.189363
4957475	 +0.017745	 +0.018610	 +0.024175	 +0.000909	 +0.000891	 +0.000805	 +2.994987	 +0.066330	 +0.189301
4962475	 +0.017743	 +0.018617	 +0.024188	 +0.000909	 +0.000891	 +0.000804	 +2.993536	 +0.066279	 +0.189239
4967475	 +0.017757	 +0.018615	 +0.024183	 +0.000910	 +0.000891	 +0.000804	 +2.992070	 +0.066228	 +0.189176
4972476	 +0.017769	 +0.018631	 +0.024179	 +0.000909	 +0.000891	 +0.000803	 +2.990592	 +0.066177	 +0.189112
4977476	 +0.017804	 +0.018621	 +0.024170	 +0.000909	 +0.000892	 +0.000804	 +2.989100	 +0.066125	 +0.189048
4982475	 +0.017815	 +0.018619	 +0.024165	 +0.000908	 +0.000892	 +0.000805	 +2.987596	 +0.066072	 +0.188983
